NFIRS Code,NFIRS Incident Type Code Description,NERIS Category,NERIS Subcategory,NERIS Description,NERIS Definition
751,"Biological hazard, malicious false report",No Emerg,False Alarm,Other false call,"An incident where an emergency response was triggered by an unsustained or incorrect activation, with no actual emergency or threat present."
800,"Severe weather or natural disaster, other",Pub Serv,Disaster Weather,Weather response,"A public service incident involving a response to severe weather conditions, requiring action to ensure public safety, provide assistance, and mitigate potential hazards caused by the event."
811,"Earthquake assessment, no rescue or other service rendered.",Pub Serv,Disaster Weather,Damage assessment,"A public service incident involving a disaster or severe weather event that necessitates a damage assessment to evaluate the impact on infrastructure, safety, and resources in a specific location."
812,Flood assessment. Excludes water rescue (360 series).,Pub Serv,Disaster Weather,Damage assessment,"A public service incident involving a disaster or severe weather event that necessitates a damage assessment to evaluate the impact on infrastructure, safety, and resources in a specific location."
813,"Wind storm. Includes tornado, hurricane, or cyclone assessment. No other service rendered.",Pub Serv,Disaster Weather,Damage assessment,"A public service incident involving a disaster or severe weather event that necessitates a damage assessment to evaluate the impact on infrastructure, safety, and resources in a specific location."
814,Lightning strike (no fire). Includes investigation.,Pub Serv,Disaster Weather,Weather response,"A public service incident involving a response to severe weather conditions, requiring action to ensure public safety, provide assistance, and mitigate potential hazards caused by the event."
815,Severe weather or natural disaster standby,Pub Serv,Disaster Weather,Weather response,"A public service incident involving a response to severe weather conditions, requiring action to ensure public safety, provide assistance, and mitigate potential hazards caused by the event."
112,"Tent fire, under sheltered",Fire,Structure Fire,"Structural involvement fire, room and contents fire",A structure fire incident involving the structural components of a building; structure fire incident involving the room and contents of a building(s).
112,Fence fire,Fire,Special Fire,"Infrastructure fire (Fence, Tunnel, Bridge)","A special fire incident involving an explosion that affects infrastructure, such as pipelines, power lines, tunnels, bridges, or other critical systems."
142,Bark dust fire,Fire,Outside Fire,"Vegetation, Grass fire","An outdoor fire incident involving the ignition and spread of fire through vegetation, grass, or other plant materials."
143,Hay Fire,Fire,Outside Fire,"Vegetation, Grass fire","An outdoor fire incident involving the ignition and spread of fire through vegetation, grass, or other plant materials."
311,Lift Assist with Patient Care Record.,Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockouts, or other aid that does not involve immediate danger."
321,"EMS call, walk in",Medical,Other,Healthcare professional admission,A medical incident involving a patient admission to a healthcare professional or facility.
461,Downed Tree,Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockouts, or other aid that does not involve immediate danger."
553,Community paramedics,Medical,Other,Community Public Health,A medical incident that involves fire department personnel and/or paramedics to provide services to prevent emergency situations or reduce the likelihood of their occurrence in the future.
553,Smoke alarm installation,Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockout, or other aid that does not involve immediate danger."
553,"Downed low-voltage lines, cables, wires",HazSit,Hazard Non Chem,"Elec power line down, arching, malfunc",A hazardous situation incident involving an arching or down power line or malfunction
611,Dispatched and canceled prior to going en route.,No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
611,"Dispatched, Canceled en route - EMS Call",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
611,"Dispatched, Canceled en route - EMS Alarm",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
611,"Dispatched, Canceled en route - Fire Call",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
611,"Dispatched, Canceled en route - Fire Alarm",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
611,"Dispatched, Canceled en route - MVA",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
611,"Dispatched, Canceled en route - Unable to respond",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
611,"Dispatched, Canceled en route - Medical Assist",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
